DATE,CEU7000000001
1939-01-01,1807
1939-02-01,1804
1939-03-01,1834
1939-04-01,1863
1939-05-01,1882
1939-06-01,1894
1939-07-01,1873
1939-08-01,1868
1939-09-01,1920
1939-10-01,1938
1939-11-01,1964
1939-12-01,2099
1940-01-01,1882
1940-02-01,1881
1940-03-01,1947
1940-04-01,1939
1940-05-01,1973
1940-06-01,1993
1940-07-01,1962
1940-08-01,1966
1940-09-01,2024
1940-10-01,2052
1940-11-01,2081
1940-12-01,2236
1941-01-01,1991
1941-02-01,1996
1941-03-01,2029
1941-04-01,2109
1941-05-01,2100
1941-06-01,2129
1941-07-01,2121
1941-08-01,2134
1941-09-01,2175
1941-10-01,2194
1941-11-01,2226
1941-12-01,2355
1942-01-01,2110
1942-02-01,2090
1942-03-01,2106
1942-04-01,2114
1942-05-01,2124
1942-06-01,2115
1942-07-01,2086
1942-08-01,2082
1942-09-01,2115
1942-10-01,2157
1942-11-01,2188
1942-12-01,2305
1943-01-01,2072
1943-02-01,2055
1943-03-01,2075
1943-04-01,2115
1943-05-01,2100
1943-06-01,2116
1943-07-01,2091
1943-08-01,2075
1943-09-01,2108
1943-10-01,2155
1943-11-01,2205
1943-12-01,2298
1944-01-01,2103
1944-02-01,2087
1944-03-01,2107
1944-04-01,2118
1944-05-01,2115
1944-06-01,2119
1944-07-01,2109
1944-08-01,2097
1944-09-01,2129
1944-10-01,2173
1944-11-01,2221
1944-12-01,2320
1945-01-01,2139
1945-02-01,2127
1945-03-01,2161
1945-04-01,2129
1945-05-01,2145
1945-06-01,2151
1945-07-01,2145
1945-08-01,2140
1945-09-01,2205
1945-10-01,2262
1945-11-01,2337
1945-12-01,2457
1946-01-01,2320
1946-02-01,2335
1946-03-01,2383
1946-04-01,2440
1946-05-01,2438
1946-06-01,2454
1946-07-01,2454
1946-08-01,2475
1946-09-01,2526
1946-10-01,2569
1946-11-01,2650
1946-12-01,2777
1947-01-01,2552
1947-02-01,2537
1947-03-01,2576
1947-04-01,2601
1947-05-01,2613
1947-06-01,2627
1947-07-01,2617
1947-08-01,2607
1947-09-01,2664
1947-10-01,2718
1947-11-01,2770
1947-12-01,2916
1948-01-01,2664
1948-02-01,2636
1948-03-01,2668
1948-04-01,2678
1948-05-01,2696
1948-06-01,2712
1948-07-01,2697
1948-08-01,2684
1948-09-01,2731
1948-10-01,2763
1948-11-01,2809
1948-12-01,2968
1949-01-01,2685
1949-02-01,2659
1949-03-01,2674
1949-04-01,2743
1949-05-01,2712
1949-06-01,2712
1949-07-01,2682
1949-08-01,2665
1949-09-01,2727
1949-10-01,2746
1949-11-01,2783
1949-12-01,2959
1950-01-01,2668
1950-02-01,2644
1950-03-01,2669
1950-04-01,2727
1950-05-01,2727
1950-06-01,2753
1950-07-01,2742
1950-08-01,2753
1950-09-01,2801
1950-10-01,2827
1950-11-01,2874
1950-12-01,3048
1951-01-01,2785
1951-02-01,2773
1951-03-01,2831
1951-04-01,2818
1951-05-01,2848
1951-06-01,2869
1951-07-01,2848
1951-08-01,2841
1951-09-01,2887
1951-10-01,2911
1951-11-01,2967
1951-12-01,3141
1952-01-01,2852
1952-02-01,2829
1952-03-01,2842
1952-04-01,2917
1952-05-01,2906
1952-06-01,2928
1952-07-01,2915
1952-08-01,2912
1952-09-01,2971
1952-10-01,3009
1952-11-01,3066
1952-12-01,3252
1953-01-01,2950
1953-02-01,2931
1953-03-01,2963
1953-04-01,2988
1953-05-01,3003
1953-06-01,3024
1953-07-01,3002
1953-08-01,2995
1953-09-01,3038
1953-10-01,3070
1953-11-01,3110
1953-12-01,3285
1954-01-01,2979
1954-02-01,2943
1954-03-01,2947
1954-04-01,3027
1954-05-01,2999
1954-06-01,3014
1954-07-01,2998
1954-08-01,2990
1954-09-01,3033
1954-10-01,3055
1954-11-01,3110
1954-12-01,3310
1955-01-01,3012
1955-02-01,2982
1955-03-01,3019
1955-04-01,3084
1955-05-01,3087
1955-06-01,3124
1955-07-01,3117
1955-08-01,3121
1955-09-01,3181
1955-10-01,3206
1955-11-01,3270
1955-12-01,3478
1956-01-01,3180
1956-02-01,3151
1956-03-01,3194
1956-04-01,3200
1956-05-01,3218
1956-06-01,3240
1956-07-01,3200
1956-08-01,3195
1956-09-01,3231
1956-10-01,3265
1956-11-01,3320
1956-12-01,3504
1957-01-01,3195
1957-02-01,3167
1957-03-01,3177
1957-04-01,3242
1957-05-01,3242
1957-06-01,3266
1957-07-01,3249
1957-08-01,3247
1957-09-01,3286
1957-10-01,3291
1957-11-01,3339
1957-12-01,3504
1958-01-01,3206
1958-02-01,3147
1958-03-01,3147
1958-04-01,3176
1958-05-01,3200
1958-06-01,3224
1958-07-01,3205
1958-08-01,3213
1958-09-01,3256
1958-10-01,3281
1958-11-01,3332
1958-12-01,3525
1959-01-01,3248
1959-02-01,3224
1959-03-01,3255
1959-04-01,3300
1959-05-01,3348
1959-06-01,3380
1959-07-01,3357
1959-08-01,3363
1959-09-01,3386
1959-10-01,3410
1959-11-01,3457
1959-12-01,3649
1960-01-01,3377
1960-02-01,3351
1960-03-01,3347
1960-04-01,3467
1960-05-01,3449
1960-06-01,3476
1960-07-01,3456
1960-08-01,3448
1960-09-01,3464
1960-10-01,3485
1960-11-01,3515
1960-12-01,3686
1961-01-01,3401
1961-02-01,3345
1961-03-01,3372
1961-04-01,3408
1961-05-01,3438
